                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.68257,                 1.2266,                0.71437,                0.95499,                0.67863,                   0.74,                0.74741,                0.56179,                0.64649,                   0.72,                0.68144,                0.37281,                0.90116,                 1.3547,                 1.0572,                 1.1384,             0.00057778,             0.00057778,             0.00057778
                     69,                 0.7011,                 1.2059,                0.72817,                0.97466,                0.79586,                0.70776,                0.79365,                 0.6101,                0.70376,                0.62651,                0.67509,                0.36916,                0.84816,                 1.3379,                0.88223,                 1.0932,             0.00056128,             0.00056128,             0.00056128
                     70,                0.68235,                 1.2512,                0.72429,                0.96701,                0.85581,                 0.6649,                0.82987,                0.62906,                0.68524,                   0.67,                0.71469,                0.39022,                 0.8415,                 1.2787,                0.80511,                 1.1055,             0.00054478,             0.00054478,             0.00054478
                     71,                0.64585,                 1.1959,                0.64284,                0.94785,                0.75113,                   0.73,                0.80747,                0.62001,                0.68416,                0.67988,                0.71117,                0.40346,                0.85798,                 1.2476,                0.85902,                 1.1317,             0.00052827,             0.00052827,             0.00052827
                     72,                0.68108,                 1.2435,                0.69849,                0.96095,                0.74018,                    0.8,                0.80867,                0.61362,                0.72448,                0.66491,                0.71479,                0.40611,                0.86826,                 1.2658,                0.86376,                 1.1116,             0.00051177,             0.00051177,             0.00051177
                     73,                0.65176,                 1.1429,                0.67161,                0.94535,                0.73654,                0.80329,                0.83331,                0.63632,                0.65179,                0.71067,                0.71918,                 0.4196,                0.82783,                  1.224,                0.81953,                 1.0848,             0.00049527,             0.00049527,             0.00049527
                     74,                0.64537,                 1.1059,                0.63446,                0.95233,                0.74701,                   0.72,                0.83223,                0.64653,                0.64318,                0.67063,                0.70589,                0.43137,                0.82207,                 1.2071,                0.78524,                 1.0858,             0.00047876,             0.00047876,             0.00047876
                     75,                0.64429,                 1.1509,                0.65418,                0.96002,                0.70782,                0.82778,                0.83638,                 0.6405,                0.65631,                   0.71,                0.70297,                0.42363,                0.80233,                 1.2201,                0.78374,                 1.0892,             0.00046226,             0.00046226,             0.00046226
                     76,                0.65126,                 1.1616,                0.67317,                0.96056,                0.68037,                   0.82,                0.84026,                0.65529,                0.66265,                   0.69,                0.72674,                0.42049,                0.82898,                 1.2847,                0.78055,                 1.0932,             0.00044576,             0.00044576,             0.00044576
                     77,                0.65794,                 1.1283,                0.63862,                0.94852,                 0.7358,                0.76476,                0.83575,                0.66564,                0.68454,                   0.72,                0.71751,                0.42003,                0.77936,                 1.2792,                 0.7924,                 1.0623,             0.00042925,             0.00042925,             0.00042925
                     78,                 0.6469,                 1.1501,                0.66673,                0.94838,                0.76507,                   0.77,                0.81299,                0.64485,                0.70693,                    0.7,                0.70443,                0.41575,                0.77386,                 1.2726,                0.82228,                 1.0462,             0.00041275,             0.00041275,             0.00041275
                     79,                0.61345,                 1.0798,                0.63526,                0.94249,                0.78369,                0.75222,                0.80011,                0.63037,                0.70666,                0.69297,                0.69663,                0.40613,                0.78428,                  1.223,                0.82529,                  1.056,             0.00039625,             0.00039625,             0.00039625
                     80,                0.65087,                 1.1733,                0.65753,                0.95226,                0.77013,                   0.77,                0.83074,                0.66373,                0.75103,                0.62359,                0.70427,                0.41256,                0.77553,                  1.185,                0.77841,                 1.0596,             0.00037974,             0.00037974,             0.00037974
